province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Phan Thiet,31,23,21,ENE,0.0,69,11,1014,2019-01-09
Phan Thiet,30,22,18,ENE,0.0,70,16,1011,2020-01-09
Phan Thiet,27,21,24,ENE,0.0,73,5,1011,2021-01-09
Phan Thiet,27,22,14,NE,0.0,78,28,1011,2009-01-04
Phan Thiet,31,24,17,ENE,0.0,64,25,1010,2010-01-04
Phan Thiet,29,24,14,NE,0.4,76,59,1010,2011-01-04
Phan Thiet,29,21,14,ENE,0.0,77,2,1013,2012-01-04
Phan Thiet,31,23,13,NE,0.0,67,7,1010,2013-01-04
Phan Thiet,30,22,12,ENE,0.0,76,32,1011,2014-01-04
Phan Thiet,30,23,12,NE,0.1,74,35,1011,2015-01-04
Phan Thiet,29,23,13,ENE,0.5,76,37,1012,2016-01-04
Phan Thiet,31,23,16,ENE,1.9,69,27,1010,2017-01-04
Phan Thiet,31,24,6,SW,0.0,76,38,1009,2018-01-04
Phan Thiet,30,24,25,ENE,0.1,75,15,1015,2019-01-04
Phan Thiet,29,21,17,ENE,0.0,68,12,1013,2020-01-04
Phan Thiet,27,23,11,E,3.4,81,35,1010,2021-01-04
Phan Thiet,28,20,13,NNE,0.0,64,17,1014,2009-01-10
Phan Thiet,30,24,17,ENE,0.0,67,18,1012,2010-01-10
Phan Thiet,31,22,10,E,0.0,68,23,1009,2011-01-10
Phan Thiet,29,23,16,NE,0.0,73,37,1012,2012-01-10
Phan Thiet,31,23,13,ENE,0.5,75,34,1011,2013-01-10
Phan Thiet,30,22,17,ENE,0.0,70,38,1013,2014-01-10
Phan Thiet,30,22,15,NE,0.0,69,16,1012,2015-01-10
Phan Thiet,31,22,14,ENE,0.0,73,11,1013,2016-01-10
Phan Thiet,32,21,16,ENE,0.0,71,6,1010,2017-01-10
Phan Thiet,33,24,21,NE,0.0,64,17,1013,2018-01-10
Phan Thiet,31,23,21,ENE,0.0,69,7,1013,2019-01-10
Phan Thiet,31,21,17,ENE,0.0,72,12,1010,2020-01-10
Phan Thiet,27,20,18,ENE,0.0,72,21,1011,2021-01-10
Phan Thiet,28,20,17,NE,0.0,66,12,1017,2009-01-14
Phan Thiet,30,23,20,NE,0.0,66,13,1016,2010-01-14
Phan Thiet,30,22,8,ENE,0.1,74,27,1010,2011-01-14
Phan Thiet,30,23,17,ENE,0.0,75,20,1009,2012-01-14
Phan Thiet,30,22,14,ENE,0.0,73,17,1012,2013-01-14
Phan Thiet,29,21,15,ENE,0.0,68,22,1014,2014-01-14
Phan Thiet,30,20,14,ENE,0.0,66,8,1014,2015-01-14
Phan Thiet,32,23,16,ENE,0.0,70,12,1012,2016-01-14
Phan Thiet,30,23,3,ESE,6.3,85,72,1009,2017-01-14
Phan Thiet,31,22,16,NE,0.0,63,44,1012,2018-01-14
Phan Thiet,31,21,14,ENE,0.0,63,12,1011,2019-01-14
Phan Thiet,29,20,19,ENE,0.0,69,5,1011,2020-01-14
Phan Thiet,25,19,11,ENE,0.0,76,12,1012,2021-01-14
Phan Thiet,29,20,10,NE,0.0,66,31,1014,2009-01-11
Phan Thiet,31,23,15,ENE,0.0,64,21,1013,2010-01-11
Phan Thiet,30,22,7,ENE,0.0,73,28,1009,2011-01-11
Phan Thiet,30,23,17,NE,0.0,75,41,1011,2012-01-11
Phan Thiet,31,23,13,ENE,0.0,70,25,1011,2013-01-11
Phan Thiet,30,22,15,ENE,0.0,69,38,1013,2014-01-11
Phan Thiet,30,23,16,ENE,0.0,71,16,1012,2015-01-11
Phan Thiet,31,21,8,ENE,0.0,76,17,1013,2016-01-11
