province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Tan An,33,24,7,E,0.4,70,27,1011,2015-01-11
Tan An,33,25,10,ESE,0.2,70,30,1013,2016-01-11
Tan An,31,24,9,ESE,11.5,76,50,1009,2017-01-11
Tan An,36,24,6,SE,0.0,59,20,1012,2018-01-11
Tan An,33,25,11,E,0.0,62,48,1012,2019-01-11
Tan An,34,24,8,S,0.0,68,27,1009,2020-01-11
Tan An,32,22,6,S,0.0,66,26,1011,2021-01-11
Tan An,29,19,5,WSW,0.0,72,43,1015,2009-01-12
Tan An,34,24,9,E,0.0,64,11,1013,2010-01-12
Tan An,32,23,6,SSE,0.2,74,31,1008,2011-01-12
Tan An,32,23,9,E,3.4,74,38,1010,2012-01-12
Tan An,33,25,7,SSW,0.0,71,10,1011,2013-01-12
Tan An,32,24,5,SE,1.2,73,36,1013,2014-01-12
Tan An,34,24,7,S,0.5,71,28,1012,2015-01-12
Tan An,33,25,15,ESE,0.2,70,17,1012,2016-01-12
Tan An,32,25,9,W,0.0,75,29,1008,2017-01-12
Tan An,33,23,8,E,0.0,57,15,1012,2018-01-12
Tan An,34,25,9,E,0.6,61,41,1012,2019-01-12
Tan An,33,24,8,SSW,0.0,71,35,1010,2020-01-12
Tan An,30,22,8,SSW,0.0,63,11,1012,2021-01-12
Tan An,32,24,6,SSE,6.1,82,32,1012,2009-01-07
Tan An,34,25,14,ESE,0.0,58,11,1012,2010-01-07
Tan An,29,22,8,E,0.4,73,52,1010,2011-01-07
Tan An,31,24,11,ESE,0.4,73,48,1012,2012-01-07
Tan An,28,23,9,NNE,11.3,90,71,1009,2013-01-07
Tan An,33,22,8,SSE,0.0,68,28,1010,2014-01-07
Tan An,33,24,10,E,0.1,73,23,1010,2015-01-07
Tan An,34,25,16,ESE,0.0,65,34,1014,2016-01-07
Tan An,32,24,18,E,0.2,69,26,1008,2017-01-07
Tan An,33,25,11,ESE,0.0,73,24,1010,2018-01-07
Tan An,34,25,13,E,0.0,60,7,1012,2019-01-07
Tan An,34,24,9,E,0.0,65,42,1011,2020-01-07
Tan An,33,24,5,SSW,0.0,73,24,1009,2021-01-07
Tan An,29,21,10,NE,0.1,64,36,1017,2009-01-13
Tan An,33,24,9,E,0.0,62,29,1015,2010-01-13
Tan An,32,23,4,SW,0.1,75,23,1009,2011-01-13
Tan An,31,24,8,ENE,3.1,76,47,1010,2012-01-13
Tan An,32,24,8,SE,0.3,74,14,1011,2013-01-13
Tan An,33,24,7,ESE,0.9,73,45,1012,2014-01-13
Tan An,32,24,7,SW,6.4,73,37,1012,2015-01-13
