province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Hue,23,20,8,WNW,6.0,93,99,1019,2019-01-04
Hue,25,19,10,SE,0.9,84,56,1017,2020-01-04
Hue,20,18,7,NW,16.1,96,100,1017,2021-01-04
Hue,18,15,18,SSE,25.4,91,100,1022,2009-01-09
Hue,26,20,5,ESE,8.0,89,73,1014,2010-01-09
Hue,21,18,10,ENE,8.5,91,90,1016,2011-01-09
Hue,22,19,11,SE,4.3,88,75,1017,2012-01-09
Hue,22,19,12,W,13.5,92,89,1015,2013-01-09
Hue,24,19,8,E,7.4,87,76,1017,2014-01-09
Hue,21,20,15,ENE,23.5,92,95,1018,2015-01-09
Hue,27,21,14,SE,0.3,82,23,1015,2016-01-09
Hue,26,21,8,ESE,3.0,88,53,1012,2017-01-09
Hue,20,18,17,NNW,9.3,90,100,1019,2018-01-09
Hue,26,22,13,ESE,3.6,85,48,1017,2019-01-09
Hue,26,20,8,ESE,0.0,83,32,1014,2020-01-09
Hue,17,12,12,SW,43.4,95,99,1018,2021-01-09
Hue,20,16,13,NE,1.3,76,41,1025,2009-01-13
Hue,20,17,10,S,19.2,94,100,1021,2010-01-13
Hue,21,15,5,SSE,1.1,87,75,1015,2011-01-13
Hue,21,18,8,SW,16.8,96,94,1016,2012-01-13
Hue,21,18,8,NNW,3.5,90,76,1015,2013-01-13
Hue,20,17,12,S,31.4,94,96,1019,2014-01-13
Hue,18,15,13,NNW,5.3,87,73,1020,2015-01-13
Hue,26,21,4,SSE,6.5,91,75,1015,2016-01-13
Hue,22,20,9,NW,10.2,94,98,1013,2017-01-13
Hue,19,17,10,NNE,18.8,88,100,1019,2018-01-13
Hue,27,21,12,ESE,1.3,84,39,1016,2019-01-13
Hue,25,19,11,SE,2.1,85,65,1014,2020-01-13
Hue,19,13,7,SSE,0.1,78,64,1017,2021-01-13
Hue,19,15,12,NE,2.6,79,57,1024,2009-01-14
Hue,20,18,6,S,13.3,94,98,1021,2010-01-14
Hue,23,17,7,SW,2.9,88,65,1014,2011-01-14
Hue,24,18,5,S,3.1,93,75,1012,2012-01-14
Hue,24,19,7,ESE,1.1,85,64,1015,2013-01-14
Hue,17,15,15,NNW,13.6,91,90,1020,2014-01-14
Hue,21,14,9,NW,1.5,83,51,1020,2015-01-14
Hue,27,21,6,SSE,2.0,91,51,1014,2016-01-14
Hue,22,20,10,NW,2.5,94,99,1014,2017-01-14
Hue,20,18,10,NE,18.8,90,100,1018,2018-01-14
Hue,26,21,11,ESE,2.0,83,32,1015,2019-01-14
Hue,26,19,12,SE,0.0,82,12,1014,2020-01-14
Hue,21,14,6,SE,0.1,81,59,1016,2021-01-14
Hue,20,14,9,WSW,1.3,78,69,1023,2009-01-12
Hue,21,17,13,SSE,41.2,94,98,1018,2010-01-12
Hue,18,16,10,NNW,4.3,91,91,1015,2011-01-12
