province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Thai Nguyen,18,14,5,ESE,1.5,81,68,1016,2011-01-01
Thai Nguyen,20,14,5,ENE,0.0,67,76,1021,2012-01-01
Thai Nguyen,18,9,5,E,0.0,50,25,1019,2013-01-01
Thai Nguyen,20,8,5,E,0.0,53,0,1018,2014-01-01
Thai Nguyen,25,12,7,ENE,0.0,52,1,1024,2015-01-01
Thai Nguyen,21,13,4,E,0.0,71,85,1025,2016-01-01
Thai Nguyen,18,17,2,SSE,7.7,80,99,1021,2017-01-01
Thai Nguyen,19,14,4,E,0.1,76,88,1019,2018-01-01
Thai Nguyen,14,9,7,NNE,0.0,60,78,1028,2019-01-01
Thai Nguyen,23,19,5,ESE,0.2,73,94,1024,2020-01-01
Thai Nguyen,19,8,5,SSE,0.0,42,24,1025,2021-01-01
Thai Nguyen,13,11,12,NE,1.3,85,92,1023,2009-01-07
Thai Nguyen,15,13,9,NE,9.8,90,99,1020,2010-01-07
Thai Nguyen,15,8,9,NE,0.0,63,55,1024,2011-01-07
Thai Nguyen,19,10,8,E,0.6,75,74,1020,2012-01-07
Thai Nguyen,16,8,6,ENE,0.0,65,55,1018,2013-01-07
Thai Nguyen,25,19,8,SE,1.0,87,66,1012,2014-01-07
Thai Nguyen,19,15,12,NE,1.6,75,90,1019,2015-01-07
Thai Nguyen,26,20,11,SE,1.5,77,74,1019,2016-01-07
Thai Nguyen,27,18,4,S,0.0,78,35,1012,2017-01-07
Thai Nguyen,23,19,7,SE,2.8,92,100,1011,2018-01-07
Thai Nguyen,23,18,4,ESE,1.2,85,100,1020,2019-01-07
Thai Nguyen,26,20,6,SE,0.3,78,85,1015,2020-01-07
Thai Nguyen,15,11,8,NE,0.1,62,99,1020,2021-01-07
Thai Nguyen,15,11,10,NNE,0.2,75,75,1027,2009-01-08
Thai Nguyen,21,12,8,E,2.6,81,45,1020,2010-01-08
Thai Nguyen,19,7,5,E,0.0,65,41,1020,2011-01-08
Thai Nguyen,17,11,8,ENE,0.3,74,73,1024,2012-01-08
Thai Nguyen,15,11,8,NE,0.4,71,69,1018,2013-01-08
Thai Nguyen,21,15,11,ENE,3.0,79,77,1017,2014-01-08
