province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Play Cu,25,16,17,ENE,0.0,80,16,1015,2017-01-03
Play Cu,29,15,10,ENE,0.5,77,32,1012,2018-01-03
Play Cu,28,19,17,ENE,0.2,73,31,1017,2019-01-03
Play Cu,26,18,13,ENE,0.0,75,21,1017,2020-01-03
Play Cu,28,15,14,NE,0.0,72,18,1015,2021-01-03
Play Cu,27,14,12,ENE,0.0,76,17,1015,2020-01-05
Play Cu,27,18,15,NE,0.1,73,39,1014,2021-01-05
Play Cu,27,17,16,ENE,0.3,83,32,1014,2009-01-06
Play Cu,29,17,14,E,0.0,71,12,1013,2010-01-06
Play Cu,25,15,17,ENE,0.0,83,42,1014,2011-01-06
Play Cu,26,15,14,ENE,0.0,86,45,1017,2012-01-06
Play Cu,27,17,15,NE,0.0,80,36,1012,2013-01-06
Play Cu,26,13,11,ENE,0.0,81,35,1013,2014-01-06
Play Cu,28,18,9,ENE,6.5,83,60,1012,2015-01-06
Play Cu,29,18,11,ENE,0.0,73,16,1016,2016-01-06
Play Cu,28,17,14,ENE,0.0,82,40,1012,2017-01-06
Play Cu,31,18,7,E,14.5,83,54,1011,2018-01-06
Play Cu,28,18,14,ENE,0.0,77,34,1017,2019-01-06
Play Cu,29,13,10,ENE,0.2,77,41,1015,2020-01-06
Play Cu,26,18,15,ENE,0.0,74,21,1014,2021-01-06
Play Cu,26,17,18,NE,0.0,78,15,1016,2009-01-07
Play Cu,27,17,17,ENE,0.0,75,16,1015,2010-01-07
Play Cu,25,16,16,ENE,0.7,84,54,1015,2011-01-07
Play Cu,27,15,13,ENE,0.1,81,68,1016,2012-01-07
Play Cu,26,19,13,NE,1.0,84,69,1013,2013-01-07
Play Cu,29,12,10,ENE,0.0,70,16,1013,2014-01-07
Play Cu,27,18,14,ENE,0.0,84,54,1014,2015-01-07
Play Cu,29,16,13,ENE,0.3,76,19,1017,2016-01-07
Play Cu,28,17,13,ENE,2.0,81,38,1011,2017-01-07
Play Cu,32,18,6,E,2.5,78,42,1012,2018-01-07
Play Cu,29,16,12,ENE,0.0,78,26,1016,2019-01-07
Play Cu,29,16,11,ENE,0.0,76,37,1013,2020-01-07
Play Cu,26,16,13,ENE,0.0,76,26,1013,2021-01-07
Play Cu,22,18,22,ENE,8.7,90,84,1014,2009-01-01
Play Cu,27,16,14,ENE,0.0,76,7,1013,2010-01-01
Play Cu,24,13,14,ENE,0.0,83,51,1012,2011-01-01
Play Cu,24,17,15,ENE,0.1,86,55,1016,2012-01-01
Play Cu,26,13,15,ENE,0.0,82,39,1015,2013-01-01
Play Cu,24,12,13,ENE,0.0,84,39,1016,2014-01-01
Play Cu,24,11,15,NE,0.0,80,35,1017,2015-01-01
Play Cu,26,16,20,NE,0.0,77,16,1020,2016-01-01
Play Cu,26,18,17,ENE,0.6,83,42,1015,2017-01-01
Play Cu,27,15,12,ENE,0.0,72,7,1014,2018-01-01
Play Cu,25,18,14,NE,0.2,68,34,1017,2019-01-01
Play Cu,27,19,18,ENE,0.2,72,39,1018,2020-01-01
Play Cu,24,15,15,NE,0.0,69,28,1016,2021-01-01
Play Cu,24,15,22,NE,0.1,76,22,1019,2009-01-09
Play Cu,29,17,12,ENE,0.2,79,37,1014,2010-01-09
Play Cu,24,13,15,ENE,0.0,83,47,1014,2011-01-09
Play Cu,26,15,14,ENE,0.1,80,56,1016,2012-01-09
Play Cu,27,18,14,ENE,0.8,82,64,1013,2013-01-09
Play Cu,25,13,17,ENE,0.0,82,41,1016,2014-01-09
Play Cu,23,16,17,ENE,0.3,84,63,1016,2015-01-09
Play Cu,27,16,14,E,0.2,79,31,1015,2016-01-09
Play Cu,28,16,13,ENE,0.0,82,32,1011,2017-01-09
Play Cu,29,18,11,ENE,2.1,75,22,1015,2018-01-09
Play Cu,28,16,12,ENE,0.0,79,34,1016,2019-01-09
Play Cu,31,16,10,ENE,0.0,74,33,1013,2020-01-09
Play Cu,23,16,17,ENE,0.0,71,28,1015,2021-01-09
Play Cu,23,13,19,NE,0.0,75,10,1020,2009-01-12
Play Cu,29,16,15,ENE,0.0,78,31,1017,2010-01-12
Play Cu,26,14,11,ENE,0.0,81,49,1012,2011-01-12
Play Cu,23,17,17,ENE,4.3,89,69,1015,2012-01-12
Play Cu,27,13,11,ENE,0.0,79,48,1015,2013-01-12
Play Cu,26,16,15,ENE,0.0,80,45,1017,2014-01-12
Play Cu,27,14,12,ENE,0.0,82,50,1016,2015-01-12
Play Cu,30,20,11,E,0.5,76,42,1014,2016-01-12
Play Cu,30,17,10,ENE,0.0,77,27,1011,2017-01-12
Play Cu,25,14,15,NE,0.0,68,23,1018,2018-01-12
Play Cu,29,17,12,ENE,0.0,75,31,1015,2019-01-12
Play Cu,29,17,10,ENE,0.0,74,34,1012,2020-01-12
Play Cu,22,13,14,NE,0.0,65,7,1017,2021-01-12
Play Cu,20,14,23,NE,0.0,74,20,1022,2009-01-13
Play Cu,26,18,16,NE,1.1,79,42,1019,2010-01-13
Play Cu,26,13,12,ENE,0.2,79,38,1013,2011-01-13
Play Cu,26,17,14,ENE,0.2,86,54,1014,2012-01-13
Play Cu,29,14,10,ENE,0.0,79,47,1013,2013-01-13
Play Cu,23,15,15,ENE,0.2,82,63,1016,2014-01-13
Play Cu,25,12,12,ENE,0.0,79,27,1017,2015-01-13
Play Cu,28,18,13,ENE,5.4,81,45,1014,2016-01-13
Play Cu,28,17,11,NE,1.3,76,38,1011,2017-01-13
Play Cu,24,14,12,NE,0.0,75,21,1017,2018-01-13
Play Cu,29,16,11,ENE,0.0,74,20,1015,2019-01-13
Play Cu,28,15,11,ENE,0.0,75,27,1013,2020-01-13
Play Cu,26,10,9,ENE,0.0,73,17,1015,2021-01-13
Play Cu,19,12,20,NE,0.0,73,15,1019,2009-01-10
Play Cu,31,17,11,E,0.0,76,27,1013,2010-01-10
Play Cu,23,14,13,NE,0.0,84,49,1013,2011-01-10
Play Cu,22,16,15,ENE,0.2,86,85,1016,2012-01-10
Play Cu,27,16,15,NE,0.0,81,43,1014,2013-01-10
